logs,f73eb70b-24e8-40fa-ba24-e8907cd63eea,13184,24 Jun 2019 - 19:38:04,1561385291,1561385284,explorer,0.016,24 Jun 2019 - 19:38:11,3477340,24 Jun 2019 - 19:38:11,7.546999999999998,1561385291
timelogger,cae3a718-b4a8-4d3a-9797-62aa95c8c609,13184,24 Jun 2019 - 19:38:12,1561385299,1561385292,explorer,0,24 Jun 2019 - 19:38:19,3477340,24 Jun 2019 - 19:38:19,7.734999999999994,1561385299
,0a552599-8631-48e0-9ca5-f51773b294c4,0,24 Jun 2019 - 19:38:19,1561385299,1561385299,"System Idle Process', started='2019-06-12 10:55:47')>",0,24 Jun 2019 - 19:38:19,0,24 Jun 2019 - 19:38:19,0.016,1561385299
Cortana,4f9c7309-0e14-4890-815b-7a23adb07613,12152,24 Jun 2019 - 19:38:19,1561385301,1561385299,SearchUI,0,24 Jun 2019 - 19:38:21,131686,24 Jun 2019 - 19:38:21,1.4220000000000002,1561385301
timelogger,303d9feb-1f20-41ab-8c8a-2ff07bd14ee1,13184,24 Jun 2019 - 19:38:21,1561385312,1561385301,explorer,0.078,24 Jun 2019 - 19:38:32,3477340,24 Jun 2019 - 19:38:32,11.188000000000022,1561385312
owlwindowlogger-master,9ca7c01c-58c3-4896-b12f-4ce717f114f1,13184,24 Jun 2019 - 19:38:32,1561385318,1561385312,explorer,0.203,24 Jun 2019 - 19:38:38,3477340,24 Jun 2019 - 19:38:38,6.358999999999996,1561385318
Preparing files...,0d2b94cc-d295-43b3-9bfa-edc437abfeb6,4352,24 Jun 2019 - 19:38:38,1561385319,1561385318,WinRAR,0.25,24 Jun 2019 - 19:38:39,395634,24 Jun 2019 - 19:38:39,0,1561385319
